,Day,Major depressive disorder: (Israel),Anxiety: (Israel),Loneliness: (Israel),Sadness: (Israel),Panic attack: (Israel),Suicide: (Israel),Post-traumatic stress disorder: (Israel),Psychological trauma: (Israel),Bipolar disorder: (Israel),Psychologist: (Israel),Psychiatrist: (Israel),Clonazepam: (Israel),Escitalopram: (Israel),Antidepressant: (Israel),average_info_search_rate,average_help_search_rate,average_total_search_rate,multiplier,month,season,is_weekend,is_jewish_holiday,is_national_memorial_day,is_quarantine,is_after_oct_7
26,2019-07-27,62.0,57.0,0.0,65.0,0.0,11.0,7.0,0.0,7.0,42.0,0.0,0.0,26.0,0.0,23.22222222222222,13.6,19.785714285714285,1.0,7,summer,True,False,False,False,False
27,2019-07-28,0.0,68.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,52.0,22.0,0.0,23.0,0.0,9.222222222222221,19.4,12.857142857142858,1.0,7,summer,False,False,False,False,False
28,2019-07-29,45.0,69.0,0.0,35.0,0.0,8.0,0.0,7.0,0.0,59.0,19.0,0.0,23.0,0.0,18.22222222222222,20.2,18.928571428571427,1.0,7,summer,False,False,False,False,False
29,2019-07-30,31.0,49.0,0.0,39.0,0.0,9.0,0.0,0.0,5.0,61.0,0.0,0.0,0.0,0.0,14.777777777777779,12.2,13.857142857142858,1.0,7,summer,False,False,False,False,False
30,2019-07-31,56.0,51.0,0.0,67.0,0.0,6.0,0.0,0.0,8.0,49.0,21.0,0.0,19.0,0.0,20.88888888888889,17.8,19.785714285714285,1.0,7,summer,False,False,False,False,False
31,2019-08-01,0.0,42.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,57.0,32.0,0.0,21.0,0.0,6.0,22.0,11.714285714285714,1.0,8,summer,False,False,False,False,False
32,2019-08-02,53.0,38.0,0.0,43.0,0.0,10.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,16.0,5.8,12.357142857142858,1.0,8,summer,True,False,False,False,False
33,2019-08-03,0.0,79.0,0.0,34.0,0.0,12.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,13.88888888888889,8.0,11.785714285714286,1.0,8,summer,True,False,False,False,False
34,2019-08-04,35.0,71.0,0.0,29.0,25.0,9.0,0.0,6.0,0.0,52.0,25.0,0.0,24.0,0.0,19.444444444444443,20.2,19.714285714285715,1.0,8,summer,False,False,False,False,False
35,2019-08-05,54.0,53.0,0.0,35.0,0.0,8.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,16.666666666666668,9.8,14.214285714285714,1.0,8,summer,False,False,False,False,False
36,2019-08-06,45.0,59.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,55.0,21.0,0.0,20.0,0.0,14.666666666666666,19.2,16.285714285714285,1.0,8,summer,False,False,False,False,False
37,2019-08-07,40.0,68.0,0.0,25.0,0.0,10.0,7.0,0.0,0.0,52.0,21.0,0.0,0.0,0.0,16.666666666666668,14.6,15.928571428571429,1.0,8,summer,False,False,False,False,False
38,2019-08-08,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,17.0,0.0,6.0,13.0,8.5,1.0,8,summer,False,False,False,False,False
39,2019-08-09,49.0,41.0,0.0,35.0,0.0,8.0,0.0,0.0,0.0,26.0,0.0,20.0,25.0,0.0,14.777777777777779,14.2,14.571428571428571,1.0,8,summer,True,False,False,False,False
40,2019-08-10,76.0,76.0,0.0,47.0,0.0,20.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,24.333333333333332,7.0,18.142857142857142,1.0,8,summer,True,False,False,False,False
41,2019-08-11,0.0,57.0,0.0,36.0,0.0,20.0,0.0,0.0,0.0,38.0,23.0,0.0,23.0,0.0,12.555555555555555,16.8,14.071428571428571,1.0,8,summer,False,False,False,False,False
42,2019-08-12,33.0,49.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,39.0,20.0,0.0,17.0,0.0,12.444444444444445,15.2,13.428571428571429,1.0,8,summer,False,False,False,False,False
43,2019-08-13,0.0,54.0,0.0,0.0,0.0,15.0,0.0,0.0,8.0,40.0,0.0,0.0,18.0,0.0,8.555555555555555,11.6,9.642857142857142,1.0,8,summer,False,False,False,False,False
44,2019-08-14,50.0,46.0,0.0,35.0,0.0,12.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,15.88888888888889,6.4,12.5,1.0,8,summer,False,False,False,False,False
45,2019-08-15,0.0,49.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,7.555555555555555,5.6,6.857142857142857,1.0,8,summer,False,False,False,False,False
46,2019-08-16,0.0,50.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,39.0,0.0,0.0,30.0,0.0,7.888888888888889,13.8,10.0,1.0,8,summer,True,False,False,False,False
47,2019-08-17,0.0,71.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,23.0,0.0,0.0,21.0,0.0,10.444444444444445,8.8,9.857142857142858,1.0,8,summer,True,False,False,False,False
48,2019-08-18,0.0,52.0,0.0,27.0,0.0,15.0,0.0,0.0,0.0,54.0,22.0,0.0,25.0,0.0,10.444444444444445,20.2,13.928571428571429,1.0,8,summer,False,False,False,False,False
49,2019-08-19,32.0,44.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,17.0,10.11111111111111,13.8,11.428571428571429,1.0,8,summer,False,False,False,False,False
50,2019-08-20,47.0,32.0,0.0,26.0,0.0,15.0,0.0,8.0,6.0,47.0,17.0,0.0,19.0,0.0,14.88888888888889,16.6,15.5,1.0,8,summer,False,False,False,False,False
51,2019-08-21,44.0,51.0,0.0,28.0,0.0,14.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,15.222222222222221,9.6,13.214285714285714,1.0,8,summer,False,False,False,False,False
52,2019-08-22,0.0,34.0,0.0,37.0,0.0,13.0,0.0,0.0,0.0,32.0,0.0,0.0,21.0,0.0,9.333333333333334,10.6,9.785714285714286,1.0,8,summer,False,False,False,False,False
53,2019-08-23,43.0,81.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,26.0,0.0,0.0,21.0,0.0,15.0,9.4,13.0,1.0,8,summer,True,False,False,False,False
54,2019-08-24,0.0,63.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,29.0,0.0,0.0,26.0,0.0,7.888888888888889,11.0,9.0,1.0,8,summer,True,False,False,False,False
55,2019-08-25,46.0,46.0,0.0,24.0,34.0,8.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,17.555555555555557,7.4,13.928571428571429,1.0,8,summer,False,False,False,False,False
56,2019-08-26,26.0,65.0,0.0,30.0,0.0,11.0,0.0,0.0,0.0,45.0,0.0,0.0,21.0,0.0,14.666666666666666,13.2,14.142857142857142,1.0,8,summer,False,False,False,False,False
57,2019-08-27,30.0,66.0,0.0,31.0,0.0,12.0,0.0,0.0,0.0,52.0,24.0,0.0,27.0,0.0,15.444444444444445,20.6,17.285714285714285,1.0,8,summer,False,False,False,False,False
58,2019-08-28,48.0,68.0,0.0,37.0,0.0,12.0,0.0,0.0,0.0,61.0,21.0,0.0,24.0,0.0,18.333333333333332,21.2,19.357142857142858,1.0,8,summer,False,False,False,False,False
59,2019-08-29,37.0,42.0,0.0,0.0,0.0,14.0,0.0,5.0,0.0,36.0,21.0,0.0,24.0,0.0,10.88888888888889,16.2,12.785714285714286,1.0,8,summer,False,False,False,False,False
60,2019-08-30,36.0,44.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.11111111111111,0.0,6.5,1.0,8,summer,True,False,False,False,False
61,2019-08-31,43.0,86.0,0.0,49.0,0.0,17.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,21.666666666666668,6.6,16.285714285714285,1.0,8,summer,True,False,False,False,False
62,2019-09-01,48.0,77.0,0.0,27.0,0.0,9.0,0.0,0.0,0.0,51.0,20.0,18.0,26.0,0.0,17.88888888888889,23.0,19.714285714285715,1.0,9,fall,False,False,False,False,False
63,2019-09-02,34.0,54.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,54.0,22.0,0.0,17.0,0.0,10.555555555555555,18.6,13.428571428571429,1.0,9,fall,False,False,False,False,False
64,2019-09-03,30.0,75.0,0.0,33.0,0.0,9.0,0.0,0.0,0.0,74.0,0.0,0.0,19.0,0.0,16.333333333333332,18.6,17.142857142857142,1.0,9,fall,False,False,False,False,False
65,2019-09-04,0.0,51.0,0.0,37.0,0.0,80.0,0.0,0.0,0.0,36.0,29.0,0.0,23.0,0.0,18.666666666666668,17.6,18.285714285714285,1.0,9,fall,False,False,False,False,False
66,2019-09-05,51.0,100.0,0.0,58.0,0.0,100.0,7.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,35.111111111111114,27.6,32.42857142857143,1.0,9,fall,False,False,False,False,False
67,2019-09-06,54.0,59.0,0.0,39.0,0.0,47.0,0.0,0.0,0.0,38.0,0.0,0.0,52.0,0.0,22.11111111111111,18.0,20.642857142857142,1.0,9,fall,True,False,False,False,False
68,2019-09-07,60.0,91.0,0.0,52.0,0.0,28.0,0.0,8.0,0.0,34.0,28.0,0.0,42.0,0.0,26.555555555555557,20.8,24.5,1.0,9,fall,True,False,False,False,False
69,2019-09-08,58.0,73.0,0.0,75.0,0.0,14.0,0.0,0.0,0.0,75.0,26.0,0.0,25.0,0.0,24.444444444444443,25.2,24.714285714285715,1.0,9,fall,False,False,False,False,False
70,2019-09-09,35.0,59.0,0.0,27.0,0.0,14.0,0.0,5.0,0.0,58.0,0.0,0.0,39.0,0.0,15.555555555555555,19.4,16.928571428571427,1.0,9,fall,False,False,False,False,False
71,2019-09-10,61.0,72.0,0.0,29.0,0.0,9.0,0.0,0.0,0.0,51.0,0.0,0.0,21.0,0.0,19.0,14.4,17.357142857142858,1.0,9,fall,False,False,False,False,False
72,2019-09-11,35.0,53.0,0.0,34.0,0.0,8.0,0.0,0.0,0.0,32.0,31.0,0.0,21.0,0.0,14.444444444444445,16.8,15.285714285714286,1.0,9,fall,False,False,False,False,False
73,2019-09-12,34.0,56.0,0.0,38.0,0.0,14.0,0.0,0.0,0.0,24.0,0.0,0.0,19.0,0.0,15.777777777777779,8.6,13.214285714285714,1.0,9,fall,False,False,False,False,False
74,2019-09-13,0.0,71.0,0.0,52.0,0.0,11.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,14.88888888888889,9.0,12.785714285714286,1.0,9,fall,True,False,False,False,False
75,2019-09-14,34.0,63.0,0.0,50.0,0.0,9.0,0.0,0.0,0.0,41.0,0.0,0.0,20.0,0.0,17.333333333333332,12.2,15.5,1.0,9,fall,True,False,False,False,False
76,2019-09-15,53.0,62.0,0.0,52.0,0.0,6.0,0.0,0.0,0.0,41.0,27.0,0.0,16.0,0.0,19.22222222222222,16.8,18.357142857142858,1.0,9,fall,False,False,False,False,False
77,2019-09-16,33.0,51.0,0.0,0.0,0.0,6.0,0.0,7.0,5.0,35.0,30.0,0.0,19.0,0.0,11.333333333333334,16.8,13.285714285714286,1.0,9,fall,False,False,False,False,False
78,2019-09-17,33.0,43.0,0.0,30.0,0.0,7.0,0.0,0.0,0.0,24.0,0.0,0.0,26.0,0.0,12.555555555555555,10.0,11.642857142857142,1.0,9,fall,False,False,False,False,False
79,2019-09-18,25.0,52.0,0.0,24.0,0.0,6.0,0.0,0.0,0.0,32.0,30.0,0.0,15.0,0.0,11.88888888888889,15.4,13.142857142857142,1.0,9,fall,False,False,False,False,False
80,2019-09-19,39.0,62.0,0.0,30.0,0.0,6.0,0.0,0.0,0.0,42.0,17.0,0.0,0.0,0.0,15.222222222222221,11.8,14.0,1.0,9,fall,False,False,False,False,False
81,2019-09-20,0.0,31.0,0.0,64.0,0.0,8.0,0.0,0.0,0.0,39.0,0.0,0.0,22.0,0.0,11.444444444444445,12.2,11.714285714285714,1.0,9,fall,True,False,False,False,False
82,2019-09-21,0.0,56.0,0.0,60.0,0.0,12.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,14.222222222222221,8.0,12.0,1.0,9,fall,True,False,False,False,False
83,2019-09-22,30.0,62.0,0.0,28.0,0.0,14.0,6.0,0.0,0.0,59.0,22.0,20.0,18.0,0.0,15.555555555555555,23.8,18.5,1.0,9,fall,False,False,False,False,False
84,2019-09-23,29.0,76.0,0.0,38.0,0.0,8.0,0.0,0.0,0.0,57.0,16.0,0.0,24.0,17.0,16.77777777777778,22.8,18.928571428571427,1.0,9,fall,False,False,False,False,False
85,2019-09-24,0.0,48.0,0.0,0.0,0.0,15.0,5.0,6.0,0.0,43.0,17.0,0.0,0.0,0.0,8.222222222222221,12.0,9.571428571428571,1.0,9,fall,False,False,False,False,False
86,2019-09-25,27.0,66.0,0.0,41.0,0.0,11.0,0.0,0.0,0.0,34.0,0.0,0.0,20.0,0.0,16.11111111111111,10.8,14.214285714285714,1.0,9,fall,False,False,False,False,False
87,2019-09-26,37.0,46.0,0.0,42.0,0.0,11.0,0.0,0.0,9.0,33.0,0.0,0.0,25.0,0.0,16.11111111111111,11.6,14.5,1.0,9,fall,False,False,False,False,False
88,2019-09-27,40.0,37.0,0.0,57.0,0.0,9.0,0.0,0.0,0.0,22.0,0.0,0.0,20.0,0.0,15.88888888888889,8.4,13.214285714285714,1.0,9,fall,True,False,False,False,False
89,2019-09-28,32.0,64.0,0.0,51.0,0.0,11.0,0.0,7.0,0.0,41.0,0.0,0.0,0.0,0.0,18.333333333333332,8.2,14.714285714285714,1.0,9,fall,True,False,False,False,False
90,2019-09-29,0.0,46.0,0.0,43.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.88888888888889,0.0,7.0,1.0,9,fall,False,False,False,False,False
91,2019-09-30,47.0,65.0,0.0,53.0,0.0,17.0,0.0,0.0,0.0,26.0,0.0,0.0,43.0,0.0,20.22222222222222,13.8,17.928571428571427,1.0,9,fall,False,True,False,False,False
92,2019-10-01,65.0,77.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,31.0,0.0,0.0,27.0,0.0,16.666666666666668,11.6,14.857142857142858,1.0,10,fall,False,True,False,False,False
93,2019-10-02,39.0,65.0,0.0,54.0,0.0,11.0,0.0,0.0,0.0,43.0,25.0,0.0,18.0,0.0,18.77777777777778,17.2,18.214285714285715,1.0,10,fall,False,False,False,False,False
94,2019-10-03,35.0,74.0,0.0,55.0,0.0,10.0,0.0,0.0,0.0,56.0,16.0,0.0,24.0,0.0,19.333333333333332,19.2,19.285714285714285,1.0,10,fall,False,False,False,False,False
95,2019-10-04,32.0,66.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,12.333333333333334,7.0,10.428571428571429,1.0,10,fall,True,False,False,False,False
96,2019-10-05,45.0,65.0,0.0,43.0,0.0,12.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,18.333333333333332,7.2,14.357142857142858,1.0,10,fall,True,False,False,False,False
97,2019-10-06,30.0,56.0,0.0,35.0,0.0,10.0,5.0,0.0,0.0,48.0,30.0,0.0,24.0,0.0,15.11111111111111,20.4,17.0,1.0,10,fall,False,False,False,False,False
98,2019-10-07,35.0,63.0,0.0,39.0,0.0,10.0,0.0,5.0,0.0,38.0,19.0,0.0,0.0,0.0,16.88888888888889,11.4,14.928571428571429,1.0,10,fall,False,False,False,False,False
99,2019-10-08,0.0,0.0,0.0,38.0,0.0,12.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,5.555555555555555,4.6,5.214285714285714,1.0,10,fall,False,False,False,False,False
100,2019-10-09,51.0,84.0,0.0,79.0,0.0,9.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,24.77777777777778,4.6,17.571428571428573,1.0,10,fall,False,True,False,False,False
101,2019-10-10,32.0,60.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,55.0,17.0,0.0,0.0,0.0,13.555555555555555,14.4,13.857142857142858,1.0,10,fall,False,False,False,False,False
102,2019-10-11,48.0,58.0,0.0,38.0,0.0,9.0,7.0,0.0,0.0,38.0,0.0,0.0,24.0,0.0,17.77777777777778,12.4,15.857142857142858,1.0,10,fall,True,False,False,False,False
103,2019-10-12,0.0,43.0,0.0,42.0,0.0,11.0,0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,10.666666666666666,9.2,10.142857142857142,1.0,10,fall,True,False,False,False,False
104,2019-10-13,37.0,52.0,0.0,39.0,0.0,14.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,15.777777777777779,8.8,13.285714285714286,1.0,10,fall,False,False,False,False,False
105,2019-10-14,49.0,76.0,0.0,77.0,0.0,11.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,23.666666666666668,4.0,16.642857142857142,1.0,10,fall,False,True,False,False,False
106,2019-10-15,43.0,59.0,0.0,43.0,28.0,14.0,0.0,0.0,5.0,45.0,21.0,0.0,16.0,0.0,21.333333333333332,16.4,19.571428571428573,1.0,10,fall,False,False,False,False,False
107,2019-10-16,50.0,62.0,0.0,58.0,0.0,10.0,0.0,0.0,7.0,51.0,0.0,0.0,31.0,0.0,20.77777777777778,16.4,19.214285714285715,1.0,10,fall,False,False,False,False,False
108,2019-10-17,47.0,57.0,0.0,42.0,0.0,9.0,0.0,5.0,0.0,40.0,0.0,0.0,25.0,0.0,17.77777777777778,13.0,16.071428571428573,1.0,10,fall,False,False,False,False,False
109,2019-10-18,31.0,65.0,0.0,66.0,36.0,8.0,0.0,0.0,0.0,46.0,32.0,0.0,31.0,0.0,22.88888888888889,21.8,22.5,1.0,10,fall,True,False,False,False,False
110,2019-10-19,44.0,51.0,0.0,43.0,0.0,16.0,0.0,0.0,0.0,29.0,0.0,0.0,31.0,0.0,17.11111111111111,12.0,15.285714285714286,1.0,10,fall,True,False,False,False,False
111,2019-10-20,53.0,87.0,0.0,42.0,0.0,13.0,0.0,0.0,0.0,38.0,0.0,0.0,35.0,0.0,21.666666666666668,14.6,19.142857142857142,1.0,10,fall,False,False,False,False,False
112,2019-10-21,67.0,87.0,0.0,49.0,0.0,12.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,23.88888888888889,8.6,18.428571428571427,1.0,10,fall,False,False,False,False,False
113,2019-10-22,47.0,63.0,40.0,36.0,22.0,9.0,0.0,5.0,0.0,54.0,15.0,0.0,16.0,0.0,24.666666666666668,17.0,21.928571428571427,1.0,10,fall,False,False,False,False,False
114,2019-10-23,44.0,51.0,0.0,34.0,0.0,12.0,0.0,0.0,0.0,48.0,23.0,14.0,22.0,0.0,15.666666666666666,21.4,17.714285714285715,1.0,10,fall,False,False,False,False,False
115,2019-10-24,36.0,53.0,0.0,40.0,0.0,13.0,0.0,5.0,0.0,41.0,17.0,0.0,24.0,0.0,16.333333333333332,16.4,16.357142857142858,1.0,10,fall,False,False,False,False,False
116,2019-10-25,54.0,67.0,0.0,39.0,0.0,9.0,0.0,0.0,10.0,45.0,0.0,0.0,23.0,0.0,19.88888888888889,13.6,17.642857142857142,1.0,10,fall,True,False,False,False,False
117,2019-10-26,0.0,60.0,0.0,34.0,0.0,12.0,0.0,6.0,6.0,25.0,0.0,0.0,25.0,0.0,13.11111111111111,10.0,12.0,1.0,10,fall,True,False,False,False,False
118,2019-10-27,57.0,67.0,0.0,36.0,0.0,5.0,0.0,0.0,0.0,61.0,17.0,0.0,18.0,0.0,18.333333333333332,19.2,18.642857142857142,1.0,10,fall,False,False,False,False,False
119,2019-10-28,45.0,64.0,0.0,37.0,0.0,11.0,5.0,6.0,6.0,53.0,24.0,16.0,23.0,0.0,19.333333333333332,23.2,20.714285714285715,1.0,10,fall,False,False,False,False,False
120,2019-10-29,39.0,43.0,0.0,36.0,0.0,15.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,14.777777777777779,9.4,12.857142857142858,1.0,10,fall,False,False,False,False,False
121,2019-10-30,0.0,60.0,0.0,35.0,0.0,9.0,0.0,6.0,0.0,39.0,0.0,0.0,16.0,0.0,12.222222222222221,11.0,11.785714285714286,1.0,10,fall,False,False,False,False,False
122,2019-10-31,0.0,70.0,25.0,0.0,0.0,11.0,0.0,0.0,5.0,41.0,23.0,0.0,29.0,0.0,12.333333333333334,18.6,14.571428571428571,1.0,10,fall,False,False,False,False,False
123,2019-11-01,0.0,42.0,0.0,47.0,0.0,19.0,0.0,0.0,0.0,83.0,0.0,0.0,23.0,0.0,12.0,21.2,15.285714285714286,1.0,11,fall,True,False,False,False,False
124,2019-11-02,38.0,71.0,0.0,44.0,0.0,12.0,0.0,6.0,0.0,40.0,20.0,0.0,25.0,0.0,19.0,17.0,18.285714285714285,1.0,11,fall,True,False,False,False,False
125,2019-11-03,52.0,71.0,0.0,28.0,0.0,7.0,0.0,0.0,5.0,63.0,24.0,0.0,24.0,0.0,18.11111111111111,22.2,19.571428571428573,1.0,11,fall,False,False,False,False,False
126,2019-11-04,33.0,67.0,0.0,41.0,0.0,9.0,0.0,0.0,0.0,54.0,24.0,0.0,24.0,0.0,16.666666666666668,20.4,18.0,1.0,11,fall,False,False,False,False,False
127,2019-11-05,32.0,51.0,0.0,48.0,32.0,7.0,0.0,0.0,0.0,62.0,25.0,0.0,0.0,0.0,18.88888888888889,17.4,18.357142857142858,1.0,11,fall,False,False,False,False,False
128,2019-11-06,43.0,54.0,22.0,0.0,0.0,7.0,0.0,0.0,0.0,57.0,15.0,0.0,30.0,0.0,14.0,20.4,16.285714285714285,1.0,11,fall,False,False,False,False,False
129,2019-11-07,32.0,48.0,0.0,24.0,0.0,9.0,0.0,0.0,0.0,46.0,22.0,0.0,26.0,0.0,12.555555555555555,18.8,14.785714285714286,1.0,11,fall,False,False,False,False,False
130,2019-11-08,35.0,64.0,0.0,46.0,0.0,13.0,0.0,0.0,0.0,37.0,25.0,0.0,27.0,0.0,17.555555555555557,17.8,17.642857142857142,1.0,11,fall,True,False,False,False,False
